epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.2846,1.01057,8.41319,0.0121,0.00244,0.86448,0.0944,0.07018,0.71757,6.46749,0.01197,0.00043342,0.00043342,0.00043342
2,116.739,0.90306,7.39181,0.0104,0.00258,0.95769,0.22315,0.17406,0.75367,5.7891,0.01303,0.000866017,0.000866017,0.000866017
3,144.906,0.95781,6.31058,0.01162,0.84596,0.18058,0.27311,0.19058,1.05783,4.84561,0.01887,0.00128079,0.00128079,0.00128079
4,172.243,1.04189,5.82006,0.01216,0.83532,0.29672,0.35747,0.23601,1.00668,4.13595,0.01985,0.00156798,0.00156798,0.00156798
5,201.168,1.02375,4.81244,0.01213,0.87873,0.34528,0.4444,0.31984,1.00571,3.56337,0.01974,0.00153497,0.00153497,0.00153497
6,229.851,1.01537,4.16014,0.0115,0.43906,0.45303,0.44643,0.31406,1.02498,3.15637,0.0195,0.00150197,0.00150197,0.00150197
7,258.732,1.04036,3.60405,0.01243,0.42234,0.5003,0.50024,0.36516,0.91539,2.60605,0.01712,0.00146896,0.00146896,0.00146896
8,286.785,1.06297,3.20862,0.01246,0.47061,0.52922,0.51917,0.36539,1.00095,2.06294,0.01886,0.00143595,0.00143595,0.00143595
9,315.534,0.9988,2.92856,0.01205,0.51486,0.55716,0.54947,0.40893,0.90719,1.65779,0.01766,0.00140295,0.00140295,0.00140295
10,343.598,1.04447,2.61761,0.01296,0.56239,0.56932,0.59089,0.44843,0.86853,1.49677,0.01628,0.00136994,0.00136994,0.00136994
11,370.301,1.07604,2.42246,0.01239,0.56072,0.59713,0.6048,0.44871,0.89029,1.22313,0.01646,0.00133693,0.00133693,0.00133693
12,399.434,1.02206,2.19719,0.01208,0.58439,0.66612,0.65139,0.4736,0.93915,1.07859,0.0173,0.00130393,0.00130393,0.00130393
13,427.509,0.95931,2.00283,0.01049,0.53332,0.61963,0.63258,0.4868,0.86668,1.09616,0.01557,0.00127092,0.00127092,0.00127092
14,455.719,1.01557,1.77369,0.01228,0.58979,0.65769,0.64351,0.46193,0.97848,1.10745,0.01884,0.00123791,0.00123791,0.00123791
15,484.229,1.01257,1.77349,0.01201,0.58622,0.65291,0.65593,0.49365,0.95078,1.11471,0.01726,0.00120491,0.00120491,0.00120491
16,510.917,1.01573,1.66,0.01177,0.64654,0.60614,0.63645,0.49543,0.86278,1.22942,0.01522,0.0011719,0.0011719,0.0011719
17,538.275,0.99325,1.54657,0.01136,0.6754,0.65874,0.72818,0.55224,0.87195,0.93117,0.01536,0.00113889,0.00113889,0.00113889
18,566.97,0.9236,1.34135,0.01076,0.78008,0.7459,0.81626,0.63098,0.85003,0.72505,0.01516,0.00110589,0.00110589,0.00110589
19,595.978,0.95681,1.40916,0.01179,0.71913,0.76377,0.82277,0.62942,0.87397,0.72639,0.01491,0.00107288,0.00107288,0.00107288
20,623.782,0.93957,1.38948,0.0112,0.76097,0.75567,0.82381,0.63253,0.87964,0.71863,0.01575,0.00103987,0.00103987,0.00103987
21,652.361,0.929,1.21007,0.01093,0.77836,0.75236,0.84367,0.6374,0.91753,0.70255,0.01642,0.00100687,0.00100687,0.00100687
22,681.282,0.96134,1.18256,0.01111,0.74972,0.72342,0.80597,0.62416,0.80114,0.74973,0.01398,0.000973861,0.000973861,0.000973861
23,708.778,0.93166,1.18205,0.01112,0.84228,0.7355,0.83823,0.67128,0.79039,0.60472,0.01347,0.000940855,0.000940855,0.000940855
24,736.827,0.84938,1.0612,0.00996,0.83754,0.78443,0.88117,0.68686,0.80469,0.57516,0.01479,0.000907848,0.000907848,0.000907848
25,765.292,0.86226,1.03623,0.01017,0.82701,0.80704,0.88114,0.72842,0.68964,0.57175,0.01161,0.000874842,0.000874842,0.000874842
26,793.587,0.8652,0.96892,0.01006,0.86749,0.85139,0.9095,0.7368,0.71066,0.57491,0.01282,0.000841835,0.000841835,0.000841835
27,822.244,0.81598,0.97141,0.00884,0.86437,0.76624,0.88125,0.73312,0.64054,0.59473,0.0108,0.000808828,0.000808828,0.000808828
28,851.254,0.81887,1.00104,0.00915,0.83914,0.78711,0.89276,0.74091,0.63124,0.56632,0.01079,0.000775822,0.000775822,0.000775822
29,879.489,0.81407,0.91404,0.00898,0.82601,0.83725,0.90688,0.74026,0.6996,0.52915,0.01146,0.000742815,0.000742815,0.000742815
30,907.788,0.76613,0.84557,0.00852,0.85336,0.90229,0.92972,0.78362,0.60544,0.44798,0.01019,0.000709809,0.000709809,0.000709809
31,936.045,0.8331,0.87047,0.00991,0.90314,0.86571,0.9503,0.78325,0.70915,0.42228,0.01242,0.000676802,0.000676802,0.000676802
